patient_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
246,5.2376013,4.673112,2.1853614,4.910853,5.287277,5.245757,5.0241537,4.6293225,4.2855883,6.1847067,5.2225323,6.622136,4.1200705,5.433525,4.8286076,4.4950266
318,10.256837,4.6613445,1.9542795,4.9614315,5.0343804,5.673992,3.855534,7.2719307,5.1185026,7.120677,4.6978436,5.8022723,4.977283,6.24092,5.9166584,6.057106
625,10.038279,4.8083525,2.2587621,4.9031153,4.8995852,5.41319,3.9765556,6.993934,4.7604647,6.949852,4.862089,5.834057,4.5716386,6.017465,5.948693,5.753354
454,8.567751,4.5411434,1.8803716,5.733749,5.656537,5.6466994,4.212095,5.856786,4.6060085,7.101999,5.090342,5.9426193,4.8131886,6.4461637,5.252512,5.454384
497,3.954966,5.115293,2.089122,4.2978287,4.3831463,4.7790246,5.4167438,5.2361965,5.5221977,6.2092524,5.2927537,6.169672,4.597504,4.6854744,4.9825788,4.4216456
127,10.113447,4.5897174,1.8293048,4.909665,5.033591,5.7669034,3.8478239,7.3036265,5.157873,7.138184,4.6583657,5.771213,5.0828743,6.32084,5.8978024,6.028551
712,4.1906204,5.2000494,2.1197755,4.4282584,4.801078,4.872597,5.550526,5.0845265,4.9373655,5.767187,5.643175,6.4745784,4.468773,5.123964,4.6771827,4.181187
52,3.4227579,5.298998,2.0761795,4.332036,4.260932,4.647619,5.8102584,5.272326,5.682852,5.8609877,5.5930915,6.0875006,4.73136,5.24781,4.8597455,3.9669435
448,8.645793,4.7476006,1.9040111,5.4869275,5.2208605,5.757453,4.271462,6.185836,4.7176456,7.045599,5.187853,5.8195763,5.021228,6.293009,5.4388328,5.3049994
577,8.830343,4.737957,1.8403606,5.5827165,5.3149395,5.862445,4.246143,6.2647643,4.6498656,7.0172567,5.2884817,5.7897234,5.0949216,6.4340143,5.3885493,5.3332906
101,6.0215454,4.7025614,2.2554474,4.877463,4.8869324,5.105162,4.770871,5.254894,5.060344,6.5172286,5.148313,6.0321965,4.5443735,5.403325,5.411951,4.763108
415,4.357172,5.152542,2.1712644,4.421378,4.4730806,4.889373,5.473105,5.3338866,5.5582824,6.1230874,5.6055465,6.0310106,4.6216636,5.2172465,5.0305395,4.303521
